state_clean,district,age_0_5,age_5_17,age_18_greater,total,youth_pct,demo_age_5_17,demo_age_17_,demo_total,bio_age_5_17,bio_age_17_,bio_total,n_total,n_youth_pct,n_demo_total,n_bio_total,priority
100000,100000,0,1,217,218,0.45871559633027525,0.0,2.0,2.0,0.0,0.0,0.0,0.004967152699887838,0.0045871559633027525,4.471741944715854e-06,0.0,0.0028861867841753746
andaman and nicobar islands,Andamans,70,5,0,75,6.666666666666667,7.0,743.0,750.0,343.0,1672.0,2015.0,0.0016938677409755762,0.06666666666666667,0.0016769032292684454,0.003326388911816852,0.018260178804225178
andaman and nicobar islands,Nicobar,64,11,0,75,14.666666666666666,58.0,729.0,787.0,992.0,819.0,1811.0,0.0016938677409755762,0.14666666666666667,0.0017596304552456887,0.002989622987245816,0.03820937106450642
andaman and nicobar islands,Nicobars,1,0,0,1,0.0,0.0,4.0,4.0,1.0,1.0,2.0,0.0,0.0,8.943483889431708e-06,3.3016267114807466e-06,2.449022120182491e-06
andaman and nicobar islands,North And Middle Andaman,128,4,0,132,3.0303030303030303,112.0,1897.0,2009.0,3780.0,2603.0,6383.0,0.0029986037036189256,0.030303030303030304,0.004491864783467076,0.010537141649690803,0.011631070158655776
andaman and nicobar islands,South Andaman,216,12,0,228,5.263157894736842,440.0,3256.0,3696.0,6690.0,3797.0,10487.0,0.005196053745965618,0.05263157894736842,0.008263779113834899,0.017312079661649295,0.02009168530302691
andhra pradesh,Adilabad,1137,281,1,1419,19.802677942212828,2596.0,26695.0,29291.0,12208.0,39830.0,52038.0,0.032458168333829286,0.1980267794221283,0.06549089665133605,0.08590502540601755,0.09114623818384304
andhra pradesh,Alluri Sitharama Raju,1105,116,34,1255,9.243027888446214,1569.0,11302.0,12871.0,8438.0,10169.0,18607.0,0.028704191178153683,0.09243027888446215,0.02877789528521888,0.030716684110261124,0.045052952512565324
andhra pradesh,Anakapalli,523,12,8,543,2.209944751381215,1772.0,11688.0,13460.0,3542.0,3181.0,6723.0,0.012406436697415707,0.02209944751381215,0.030094823287937698,0.01109841819064253,0.018105763018264578
andhra pradesh,Anantapur,4089,326,0,4415,7.383918459796149,8956.0,59789.0,68745.0,35834.0,57731.0,93565.0,0.10103692173873234,0.07383918459796149,0.1537049499947457,0.15445835162984803,0.11545537908296544
andhra pradesh,Ananthapur,1843,151,0,1994,7.57271815446339,9092.0,20934.0,30026.0,64082.0,20050.0,84132.0,0.04561997848330167,0.0757271815446339,0.06713426181601911,0.1388862292451491,0.0761028860675477
andhra pradesh,Ananthapuramu,3018,159,10,3187,4.989017885158456,11812.0,44132.0,55944.0,90533.0,19069.0,109602.0,0.07292787328038089,0.04989017885158457,0.12508356567759188,0.1809324454158564,0.09920050257971913
andhra pradesh,Annamayya,868,48,105,1021,4.701273261508325,5789.0,27845.0,33634.0,5790.0,3922.0,9712.0,0.023347906699933616,0.04701273261508325,0.07520128428428652,0.016032699310950506,0.03817174721779498
andhra pradesh,Bapatla,421,55,16,492,11.178861788617885,2008.0,11506.0,13514.0,3899.0,2083.0,5982.0,0.011239041362419025,0.11178861788617886,0.030215560320445027,0.009875165494038912,0.03989896411128816
andhra pradesh,Chittoor,7493,659,43,8195,8.041488712629652,28652.0,140927.0,169579.0,168710.0,82695.0,251405.0,0.1875615171561334,0.08041488712629652,0.3791567636214849,0.41502273169990855,0.24458615185049953
andhra pradesh,Cuddapah,5519,413,2,5934,6.959892146949781,11074.0,72593.0,83667.0,115127.0,55669.0,170796.0,0.1358069906379472,0.06959892146949781,0.18706861664427069,0.2819523179070328,0.15873636400091667
andhra pradesh,Dr. B. R. Ambedkar Konaseema,618,30,17,665,4.511278195488721,1752.0,12404.0,14156.0,4352.0,2954.0,7306.0,0.015199029459564629,0.04511278195488721,0.03165098948469881,0.012060842377039168,0.02534022217191702
andhra pradesh,East Godavari,7161,507,10,7678,6.603282104714769,19090.0,136935.0,156025.0,204904.0,96946.0,301850.0,0.17572733307391214,0.0660328210471477,0.34885176846214555,0.49829801143023167,0.2474427278161316
andhra pradesh,Eluru,568,45,16,629,7.154213036565977,2346.0,15238.0,17584.0,4288.0,3942.0,8230.0,0.014374985693684618,0.07154213036565978,0.03931555517794179,0.013586193917743272,0.03349712740334157
andhra pradesh,Guntur,8769,925,35,9729,9.507657518758352,22026.0,155195.0,177221.0,187665.0,104029.0,291694.0,0.22267493762446494,0.09507657518758351,0.3962432895922442,0.48153235098933245,0.27726050008177394
andhra pradesh,Hyderabad,3831,1008,1,4840,20.826446280991735,4382.0,31824.0,36206.0,23363.0,82381.0,105744.0,0.11076521619703801,0.20826446280991737,0.0809519444251911,0.17456360748941002,0.1419370517543629
andhra pradesh,K.V.Rangareddy,55,14,0,69,20.28985507246377,48.0,470.0,518.0,168.0,605.0,773.0,0.001556527113328908,0.2028985507246377,0.0011581811636814062,0.0012760787239873086,0.05175627414835829
andhra pradesh,K.v. Rangareddy,15,4,0,19,21.052631578947366,32.0,134.0,166.0,216.0,188.0,404.0,0.000412021882940005,0.21052631578947367,0.0003711545814114159,0.0006669285957191108,0.05298340324182352
andhra pradesh,Kakinada,858,84,27,969,8.6687306501548,3621.0,24648.0,28269.0,7141.0,4557.0,11698.0,0.02215762126032916,0.08668730650154799,0.06320583651758624,0.019311214635450887,0.04593040429710963
andhra pradesh,Karim Nagar,71,11,0,82,13.414634146341465,82.0,1069.0,1151.0,387.0,1310.0,1697.0,0.0018540984732300226,0.13414634146341464,0.0025734874891839743,0.0028014302646914135,0.03526050338225925
